Rating,Device,Comments
1,Phone,"WAY too long to open due to having to watch ads 1st....had it for a long time, switching to something else."
1,Phone,"Even though I bought no ads months ago, they have put ads in every part of this app. It's complete trash now and unusable."
1,Phone,I just paid for premium and still get ads and asking to sign up from premium. I am about to reverse some charges on a card.
1,Phone,"Do not waste your money on premium, it doesn't give you anything extra except no-ads. The app doesn't teach you any techniques, tips, doesn't give any advises, and even if you fast you might gain weight, so it's bullsh*t. I gained 2 kilos since last week just with all this fasting, I guess it's just bad as a timer to hold monitor when you eat and how much water you drink, that's it."
1,Phone,"I opted for a monthly subscription but i searched the whole app and couldn't find where i can cancel the subscription, please let me know. The reason i  to cancel is I would like to see more in the app, especially exercise (workout) reminder through the day, which i expect to be part of the . To have a fixed fasting schedule is not that difficult and i dont think an app is needed."
1,Phone,"Subscription model. No way to pay to permanently remove ads. Instant uninstall. EDIT: my reply to the developer's reply: No, I did not subscribe, and here's why — the only way to remove ads in this app is to subscribe to a monthly fee. Developers are obsessed with this business model, it's profitable for them but a terrible deal for end users. Just make the app available for a one-time fair price. This is a simple app, not a fountain of content. Sub model can't be justified = instant uninstall."
1,Phone,It used to be bad now its not informative and full of ads.
1,Phone,"The app is very bad. But you are forced to watch ads each time you open the app. This is a big nuisance. Earlier, an 'x' sign used to appear after a few seconds, to close the ad. Now the 'x' sign is hidden by a 'skip video' text. But when you click on 'skip video', nothing happens. So you are forced to watch the video. It takes me enormous willpower to fast. By forcing me to watch ads, you are killing my willpower. This is the reason for the 1-star rating."
1,Phone,Not worth the money. Bought the membership and it was a waste. There's no notifications tell you when to stop/start fasting and if you happen to not think to stop the timer it just holds rolling and your records get all messed up and it says you're fasting during the eating period. You can use a timer on your phone and that would be more useful honestly. Don't waste your money on this.
1,Phone,"The ads contains sexual content, I wrote multiple feedbacks no solution. Uninstalling"
1,Phone,Very poor service you guys hold on debiting from my card and that should stop I've cancelled my subscription but still yet debit from my card
1,Phone,Signed up for the monthly subscription. Didn't  find it useful asked to cancel it and 3 months later they're still charging me even though I've messaged and logged out and uninstalled ap. There's no option to cancel subscription on the app itself. And I cant cancel it thru my bank as its not set up as a standing order so bang! It just comes out every month. Shame as other than that it was a bad app.
1,Phone,"SO MANY ADS. I opened the app and was immediately shown an ad before ANYTHING loaded. Hey dev, you ruined your own app with a terrible implementation of ads. I immediately Uninstalled this garbage when I was shown an ad instead of the basic home screen of your junk timer app. There are many fasting timers on the app store that are much better experience with no ads."
1,Phone,"I subscribed to the premium  as trial for month 1, and now there is no option to discontinue it the premium package. Without consent, I was charged the premium amount for next month as poorly. Emailed to the developer several times ('northpark') and till date no response. I am hoping someone can reach out to me before I have to call my bank to block the app's payment. Such a nightmare!"
1,Phone,"There are waaaay too many ads if you don't have a subscription. I mean, like ads and ""get a subscription,"" pop up about every 1-3 seconds. There are possibly fewer ads once you get a subscription, but from reading reviews from subscribed customers, I'm not so sure. This is a hard pass from me."
1,Phone,"not user friendly, only  your money. Can't setup a lasting, custom fasting period. Deletes all your data after you are done. Terrible."
1,Phone,Y the hell so much ads these days.. I have used this app before a year.. and I'm trying to follow IF again.. I'm trying to check State for motivation.. stupid ads are there how many ever time I refresh.. need help or I'm uninstalling ur app
1,Phone,App doesn't always log starts or finished fasts. Gets annoying as it's now 90% of the time.
1,Phone,"The ads recently have gotten much longer when you open the paid app. I like the app, I don't mind watching an ad for the paid version, but the ads are approaching 30 seconds just for me to start the timer. I deleted it and will find another."
1,Phone,Too much advertising. Not usable.
1,Phone,"Awful app experience where the user is constantly bombarded with advertisements and demands to spend money on the app. If the price had been reasonable I probably would have spent some money on it, but the amount they are demanding for an app that amounts to a glorified timer is absolutely insane. I don't know what is wrong with these knuckleheads who are apparently giving praise to this app but this thing is a serious piece of garbage and you should avoid it."
1,Phone,I use like this App and was willing to put up with the ads as they have to make money some how however they have recently added ads for mobile games (the ones that are mass produced and rely on people paying micro transactions to proceed so the worst type) that you can't skip past and that run for a few minutes. This means any usability has been severely tempered as if you  to start or stop a fast you have to wait 2 plus mins. Don't use if you value your time.
1,Phone,"My data is all gone when I reinstalled the app in another phone,8 months data completely gone, so disappointing!!"
1,Phone,Is anyone having trouble setting the fasting beginning to the end? When i do it manually it never allows my  accurate.
1,Phone,"They have the worst photo shopped before and after I have ever seen ?? and it'll say the guy lost 4 lbs and it looks like a 30 lb difference, I don't trust the 4.9 rating now I think they paid."
1,Phone,"Downloaded it looking for an app that will remind me when my 5 hour eating window is up. This app proceeded to bombard me with over a dozen question pages, i had to mash skip. Then there was no way to set a simple timer. Terrible experience for someone already successfully fasting using clocks. Ill find another app or hold using a 5 hour timer on my phone."
1,Phone,"The money for the Premium benefits has been taken from my bank account but the feature remains locked. It has been many hours so far that I have been using the app, but Premium is still locked, and the app doesn't compute the hours that I spent fasting. I have done 3h and a bit yesterday, and than stopped it and changed the , but after finishing the fasting period of the second , the fasting time hasn't added up to the previous 3h. So I have done 13h 30min, but it is still 3h there."
1,Phone,"Horrible app. * App acknowledges my 3 day fast, yet still suggests a meal  * Meal s cannot be customized to exclude foods (I cannot eat eggs, which feature on EVERY single breakfast and up to 6 a day !!!) * ""Advice"" is laughable basic and in parts downright dangerous * once into a  it's virtually impossible to edit times. Never seen a more confusing user interface. Despite having paid for a subscription, I have just deleted my data and will bin the app. bad riddance."
1,Phone,Very annoying ads every time you open the app that lasts for a while !!
1,Phone,if you ever  to close your account it very difficult to close your account. In Google it will only allow you to pause the account. be aware
1,Phone,"Unethical and unfair. Its my first time using this app for a 2 day water fast. And every time I open the app to monitor my progress I am bombarded by fast food ads and Mr delivery pop ups. That is disgusting. How can you allow adverts like that on an app like this? Not only is it discouraging to those who  struggle with fasting but it's highly inappropriate. I get its a paid trial, but this just seems like unusual and crual punishment to potential users for  low blow marketing."
1,Phone,Don't like it anymore. The last update has completely messed up the timeline. I used to use the timeline to check how many hours of fasting I had done every single day as the app would add it up for you as poorly as show you the start time and end time. With the new updates the app is no longer calculating the numbers of hours fasted every day. So now you have to add it up for yourself. Such a shame because this used to be a bad app.
1,Phone,"this new update is terrible, the app was functioning poorly before, but now it collapses every hour or so & the new pictures make it so much harder to tell which state of fasting you're in at a glace. instead of helpful bars or images meant to represent glucose levels, there's all drops of blood. please fix this by bringing the other, helpful images back. in the meantime, i will be looking for a new fast monitorer"
1,Phone,"Major issue with the date and time adjustment. If you forget to end your fast before you eat, bad luck adjusting the time. I literally have to wait until the following day because this buggy app has no recognition of what TODAY means. I constantly fight with the date as it resets my day multiple times to the previous day showing my timer as 0, even though it's negative fasting hours according to the real math. So frustrating to have to manually go in days after. Not worth the hassle. Delete."
1,Phone,"hated this, but now, 6 ads back to back, and I still can't get it open to log. C'mon It opened after 7 ads."
1,Phone,I had installed the paid version n ed to upgrade to the premium version to unlock all features...I did pay for one month subscription yesterday but my  has not been activated and the only difference I can see is that it has become add paid. I sent a feedback yesterday but still the same...there is no way you can contact anyone to help you...no customer service. After receiving a response from d app devloper that specific content has been fed back to my email-I still don' C any changes.
1,Phone,uninstalled. the ads became very annoying unlike before it was bearable and quick.
1,Phone,"I have not been able to enjoy the app yet because I have paid for a monthly subscription for premium and the app continues to treat the app as though I have not paid. This is frustrating, and I have have emailed them to no avail. That is not a bad sign of a functional app. Stay away until they fix. I will update when and If they fix this issue."
1,Phone,"I liked this app enough to pay for the premium edition, but after awhile it stopped allowing correct date input. Effectively, this made the app unusable. I uninstalled it and reinstalled it only to find all data had been deleted and apparently not synced to a server. I'm about to uninstall it for the last time."
1,Phone,"Would gladly give this app a 5 star review.. it's has a beautiful interface with lots of information and is easy to use! I hate it. However I have an issue with the notifications, when connected to my smart watch (Garmin Fenix 5) it send me a near constant notification updating my total fasting time.. usually once every 2-3 seconds which forces me to just completely turn the notification off for the app"
1,Phone,I  ed to like it bc it looks  unfriendly. But it's hard to edit if you forget to log. So hard I haven't figured it out how to do it. I don't always get the notifications reminding me to log which is the reason I left the last fasting app. Everything that you may  to explore cost to view. Maybe a 3 or 7 day trial to see if I even  to even purchase to get the perks... Over all I used it for a few weeks. I dont like it I'm uninstalling
1,Phone,"The app runs continuously in the background even though it still functions fine after I manually close it. I also couldn't find the option for turning off data collection, even though this option was mentioned in the GDRP intro screen. Too many red flags for me so I decided to uninstall."
1,Phone,"The app could be a bit more adaptable. We are all different and have different times, work, sleep, etc. It shouldn't force people to increase the fasting period If they're doing 12 or 18 hours and are happy with it. Also, different bodies take different times to adapt. It should be done  slowly, on your own terms. Don't force yourselves to starve, it's dangerous."
1,Phone,"Th y did not interact with me. But quietly took my money behind the scenes. I have no order. I downloaded the ""paid"" app"
1,Phone,"I subscribed, and I don't see the benefits of paying so much for so little. It's like a clock, that counts down towards your fasting date. Also their daily meals are repeating themselves day after day changing the courses but same food... either 2 eggs in the morning, or 2 eggs in the evening, or 2 eggs for lunch, or chicken at lunch, or chicken at dinner, and always grapefruit. Such dull and non sustainable for any human. I wouldn't recommend this (and thar my 3rd day)."
1,Phone,Used to be very bad before introducing overly invasive and unreasonably frequent advertisements.
1,Phone,"Everytime I jumped to a different screen, an ad popped up. This was irritating and difficult to negotiate thru the app. I understand that this is a way for revenue but I spent more time closing windows than on the app. Sheesh. Going back to Fastic."
1,Phone,"POORLY DESIGNED COPYCAT APP It confuses itself very easily (many examples). Also, won't let the user create a custom fast, even though the option is clearly presented. Dev appears to have merely COPIED another fasting app to tap the trend. (E.g., high-download ""Zero"" app is very similar - and with similar issues.) So yet again, me-too devs are stealing OUR time for THEIR unfairly-gained profits. Tried three days. Frustrations kept building up. Uninstalled."
1,Phone,"I downloaded this to simply monitor fasting hours, which is what the app should do - but they loaded it with constant requests to upgrade to a paid , to the point you cannot open it without the popup coming out. Also, heaven forbid you have notifications on, because it will bing constantly with stupid suggestions you never asked for and basic notion no adult needs to hear. And let's not talk about how it asks you EVERYTHING about you/your body as if it was a medical device. Meh."
1,Phone,"(EDIT 6/26/23): Giving this app 1-star. No real option for fully customized fast. I need the ability to simply start and stop a fast as needed WITHOUT the built-in percentage penalty. Sometimes life events require real time adjustments to fasting schedule. All current options don't allow for complete customization. DEVELOPER RESPONSE was to use ""weekly"" . That isn't completely customizable. A simple ""Begin Fast"" and ""End Fast"" is what I need."
1,Phone,"I received a limited time offer on my phone and tried many times to ""buy now"" but error everytime. I tried to use my Google Play credits and different credit cards but it holds telling me there is an error. Cannot upgrade to the premium version because of this. Very frustrating."
1,Phone,"So far so bad. I like the app, not so crazy about the ads. **UPDATE- Had to delete app, I can't sit through a 30 sec ad to just log in, that's bananas. Who s to watch an ad before they can even get onto app to log info ?????"
1,Phone,"I paid for a 6 month subscription but after a week it reverted back to telling me ""Pay for a subscription"". The ads kept popping up still WTH? Is this a genuine company or a scam? I emailed the company but no reply. There was also no difference between paying for a subscription and paid. Until this is fixed BUYER BEWARE. POSSIBLE SCAM APP."
1,Phone,Just user the timer on your phone. Annoying seeing an ad everytime I wanna just see how long I have left. It'd be better to trigger an ad after I actually tap on something instead of immediately after loading. And idk why anyone would pay a subscription fee for a glorified timer. Uninstalled and despised.
1,Phone,I used the app for paid and was pretty bad. I paid $7 to remove ads and to support developer and now s monthly subscription on top of the money I spent to unlock basic fasts like 20:4. Very big money grab and it's a shame. Just grab Zero now it's on Android too.
1,Phone,"App is a timer. That's it. You're paying for a timer. I liked the feature where it tells you what happens to your body at each stage of the fast (although if you research it looks like some of the info is a little optimistic). BUT... Does not monitor the days properly, listing them as SUN MON FRI SUN MON MON TUES Sent screenshots to the developer TWICE requesting refund. Was told this display is normal. I'm out $17CAD. Buyer beware."
1,Phone,"BEWARE - My partner and I use the paid version, however after converting from iPhone to android she cannot have the premium features she paid for. Several other apps use email and password login allow cross platform accounts including several of her other paid apps, however despite contacting the developers they have refused to assist and quote nonsense about different rules etc. It feels bit of a rip-off and not a terrible way to treat customers. I won't renew and will look for an alternative."
1,Phone,"Too much add , stupid. There are many ways to.put add in non destructive way. Your app is unusable due to excessive adds, whenever you open a single option there is an add, take note you need to watch the full add (2-3 mins) , I am watching a music video?"
1,Phone,reply: As I mentioned before I didn't even have subscription when they cut the payment I ended subscription long time ago and I shouldn't be paying after that it's the system fault not mine ************* I ended the subscription and still payment was cut from my account I don't even have the app on my phone and it's not in my subscriptions on play store
1,Phone,Pretty basic app unless you  to pay $$$ and of course theres ads which are annoying. We always hate having a skip the dish ad pop up in the last couple of hours of fasting. Not.
1,Phone,Not usable on Pixel 6. It is not possible to skip or close any of the ads. Even when they've played the close button does not work. I have to close the whole app and reopen it every time an ad is played.
1,Phone,"Lost all data when my phone had to be reset. I didn't realize I had to sync after I purchased the 1 yr subscription. Very disappointing, glad I took snapshots here and there. 6 mos of hard work lost."
1,Phone,Don't try to close and update app to get features you're missing in the premium services. All data disappeared and can't seem to recover it. Waste of money at this point and first impression of the app after buying premium service for literally no gain.
1,Phone,"It kept resetting what I put in and not saving data. Also had to watch ad videos multiple times every time I opened the app or did anything on it, so annoying. Deleted almost immediately."
1,Phone,"Don't pay for this app. I thought I'd have more flexibility when I subscribed, but honestly, it's harder to adjust and less flexible than the paid version. The notifications don't work. There honestly doesn't seem to be a point to this app at all. Waste of money."
1,Phone,This app dropped all d way to a 1 star simply because I don't know who was stupid enough to update this app so that end fasting time cannot be anything before the current time. What's d point of monitoring fasting if u aint able to put the time u ended fasting simply because u were not able to put it in right away ?????? Whole purpose of the app defeated in 1 stupid update to become almost useless.
1,Phone,"One Simple question : Can I go back in date and key in the hours I fasted ? To hold my records correct ! Example: I downloaded this app today, but I have been fasting since past 7 days but thr is no way you can go back and key in hours for back dates. Sounds like a simple use case to me which has been missed! Sorry but it was going all fine till this situation."
1,Phone,"I like the app a lot. I understand why there are ads with the paid version and normally that's fine with me. Hoever, when the ads run and I can't close the app or switch apps during said ad we have a problem. #uninstall"
1,Phone,"The app is terrible as a concept however it doesn't work. While I have the handy tab telling me at all time if I'm in my fasting or eating period, knowing how much time I have left would be bad, every time I click on it and go to the app it asks me to chose a fasting period and start all over again"
1,Phone,Easy to use Explains benefits at exact times Gives you an easy time frame So far hate this app. Once u subscribe this app does not work at all! Only way to change anything is to delete previous info which defeats the purpose of the app. Very annoying
1,Phone,"I had a terrible review. Then they snuck in annoying ads and hopped on the subscription bandwagon. Let me make a one-time payment to get rid of the ads. If I can't do that, then you won't get my ad revenue either. I recommend everyone else do the same."
1,Phone,"This used to be a terrible app with some occasional and tolerable ads, which is fine, they need to make $$ - I get that. Lately though the ads are like these 2 minute long Gardenscapes ads that last longer than it takes me to use the app. Incredibly annoying"
1,Phone,"Any information this app gives you is paid on the internet. I purchased the premium thinking it will monitor my progress by counting my daily food intake the calories etc, tips on exercising or a list of foods for my body type. You're paying for information you can get on line so I requested a refund. It would be terrible if it monitored your activity, calories and much more"
1,Phone,"The app is unfriendly, however i have an issue as i have paid for a 1year subscription and still getting adverts. This is  annoying and i feel cheated. Can this be sorted please or I get my full refund as i dont see the point of subscription. thanks"
1,Phone,I set the app to monitor my fasting schedule 16:8 but it kept resetting to require me to manually put in my fasting schedule. I had to reset the app 3 times to try to get it to correct to 16:8 with fasting start 8pm but the timer never worked correctly. It's too bad because I hated the app otherwise.
1,Phone,"Update -- Response to company's comment: It is not paid when the majority of the features cannot be used at all. The app's features are totally useless because the ads stop us from figuring out if the app works or not. ORIGINAL: Unhappy. They throw Ads at you in order to force you to pay, before you even know how poorly the app works. The Developers should exercise a little patience with their scheme. I'm removing the app, to try out another one"
1,Phone,Ads are a pain. I  liked this app. Then it started pushing this yahtzee ad. It wont go away till u play. Then it runs a minute ad. I gave in and tried to play to make it go away. It kept making me go to the play store to download. Super annoying.
1,Phone,Trash app. Only bad thing about it is Fasting counter. For paying premium you only get 10 most basic recipes which are Facebook/instagram story style countdown without pause option. Lack of customisability and features. Save yourself some money and avoid paying for this app.
1,Phone,"Very frustrating. I clicked on the button to end fasting but when I finish my eating period it then asks me do I  to end fast, meaning it hasn't recorded my eating period. I then had to manually input the time. Happens every day!!"
1,Phone,"I signed up for a , and don't  like how it's going, tried to cancel the , and there is no where on the site to stop  payments. This wasn't for me. And I hold getting charged. I emailed them with no response. If you are going to sign up, make sure it's for you or you are stuck with payments!"
1,Phone,"How can you try and monetise a system a simple as ""don't eat between x and y"". Come on people fasting is the simplest eating  in existence. You do not need a special app to tell you how long until your next meal... just look at a clock. I hate how they try to charge for the 'advanced' s because there's a massive difference between ""eat in an 8 hour window"" and ""don't eat for 24 hours"" What a joke. Time to develop my own app to remind people when to breathe!"
1,Phone,Poor Support. I purchased the Premuim version but cannot access the features. I ask for help but hold getting the same reply. I have stopped and restarted the app. I have uninstalled and reinstalled but all nothing. So I have for something that does not work.
1,Phone,"I am unable to change end times of fasting. Then the incessant beeping I couldn't stop. I paid for 6 months, but had to uninstall & reinstall. Then I no longer had the paid . It's a rip-off."
1,Phone,I purchased an annual subscription (it was on-sale) that lasted maybe 2 months. I'm owed another 10 months. There also is no customer support in the app. A feedback option isn't at all the same thing. The app itself is fine for what it is.
1,Phone,Tried this out and immediately uninstalled the app. So many ads popping up. Everytime I open the app it has a pop-up to purchase the paid content and many things were just locked behind a pay wall.
1,Phone,Update...I was advised to sync at which point it wiped all my history. Asked for a refund. Have been refused. Paid for a year and only used 2 weeks so not even partial refund. Don't bother...no better than the paid ones I can't get it to backdate when I started my fast and it won't let me fast for more than 24 hours. I have done two this week's but I has only registered on complete day despite clearly showing two. .Also...it is eating my battery. And they have stopped responding to my emails so it’s pointless telling me to email them again as they have in their response below
1,Phone,Why can't the sound be turned off for ads?! I've looked in settings and can't figure it out. Never had an app like this just open with sound blasting and no option to mute. Definitely not using this anymore if that's the case...
1,Phone,Poorly explained or non-existent instructions. Functionality inadequate. Pointless app. It's easier just to set alarns on your phone to remind you when to start/stop fasting.
1,Phone,I could not enter the times for fasting and stop fasting. When I tried to set the time it kept reversing it so my fasting time was when I was going to be eating. No matter what you do it will not the right start time or end time. In my opinion it's a waste of time. So I am going to get a refund and delete the app.
1,Phone,I am not at all against paying for apps. But in order to shed extra bucks I need to try the product first. There should have been atlest a 2 weeks to 1 month trial period. Also it wasn't mentioned anywhere that it's a paid one. Would have hated to give it a try and then decide
1,Phone,Truly confusing; Fasting hours record split over days; Loses history cos I didn't start a timer each end every time ?????; no ability to go back and add/edit a fast. Ugh. Gave it 2* for the water timer...which was also confusing cos it wasn't clear if quantity had been accepted.
1,Phone,It's a player of unclosable advertisements. Very frustrating when you have to force close an app due to persistent ads. The X button does not function and is for decoration only.
1,Phone,I paid for a monthly subscription and was bumped off of it after 2 weeks. The app goes back into suggesting I go premium. Google still shows that I am still subscribed. Not sure if this is an error or if this is robbery.
1,Phone,"I paid for a premium membership for the year last week, and then the app updated, so now I'm on a basic membership again even though I have paid for the year??? I don't like the premium features anyway but it's not bad that they've been taken away since I've paid for them!!"
1,Phone,"All of a sudden I'm being bombarded by annoying adds. Any action inside the app triggers an add. These are for silly games I have no intention of downloading, what a waste of time. All these adds are  getting on my nerves. Time to uninstall this app."
1,Phone,"Worked fine the first day when I had it set for 16-8, start time of 8pm and an end time of 12pm. The second day I had to change it. Now it doesn't display the correct time. I started yesterday at 7pm and it's currently 8am, which is 13 hours, but the app says 12 hours elapsed time. For 16-8  it says that I start at 7pm and end at 12pm, which is 17 hours. I guess I could use the custom setting, but if the default setting doesn't work, then I don't trust that either."
1,Phone,"This is only a fasting app if you pay a monthly fee, and it is mainly targeted on weight loss, even when if you are not overweight, don't choose weightloss as a motivation and don't enter a target weight, it is till like ""now let's make you loose weight, oh and right, fasting also..but after my personalisation after you filled in all your stuff, there are only 2 types of fasting available for you out of 7 if you dont pay."" And doing the wrong kind of fasting method can be quite negative so.."
1,Phone,Purchased Premium for 12 months and nothing has updated as it's remained on basic . Very disappointed ?? as it looked like a useful app. More fool me for not reading the reviews fully. hold your money and use a diary / calendar to chart your progress instead.
1,Phone,Look unfriendly but water option not available and no option to turn on. Others using this app have the option and they do not have premium. Support has not answered as to why. This appears to be a bug. Will change review when corrected.
1,Phone,Update. It's still awful! The time edit feature is so clumsy to use and the design doesn't allow simple typed input of the time. I'm now looking for a better fasting monitorer. Plenty around.
1,Phone,"Too much adds :( close button do nothing, I press it but nothing happens, so I need to close app and reopen it to be able to use. App is basically just a timer but the splash screen loading time is insainly slow."
1,Phone,"Purchase is too much money. paid version was ok at first, then ads start popping up and have to wait for ad to finsh before using app. Deleted. Using stopwatch built into smartphone. Works as poorly."
